HANDSET_NAME,HANDSET_BRAND
FAKE FAKE,FAKE
Fibocom Wireless G510,Fibocom
Fibocom Wireless G600,Fibocom
Fibocom Wireless G610,Fibocom
Fibocom Wireless H350,Fibocom
Fly Mobiles IQ4507 Dune 3,Fly
Fly Mobiles IQ4508 Dune 4,Fly
Fly Mobiles IQ4516 Blade,Fly
Foto Express Egypt Eco G706,Foto
Foto Express Egypt IFoo S50,Foto
Foto Express Egypt IFoo T55,Foto
Four S40,Four
FOXDA GF8801,FOXDA
G'BEST G-BEST G71,G
G'Five Panther V9,G
G'Five W1,G
G-mobile  S1,G
G-tide E20,G
G-tide E3,G
G-TiDE E31,G
G-tide E52,G
G-TiDE E72,G
G-TiDE E9i,G
G-TiDE G005,G
G-tide G11,G
G-TiDE G118,G
G-tide G266,G
G-TiDE G267,G
G-TiDE G38,G
G-TiDE G610,G
G-tide G630,G
G-TiDE Q1,G
Gammamputer Systems GA-TAB 7G,Gammamputer
Gammamputer Systems GA-TAB7V 3G,Gammamputer
Gammamputer Systems PHONE TAB 7MT4,Gammamputer
Gammamputer Systems Phone Tab-8MT4,Gammamputer
Gaoxinqi Technology HWCD399(1)GSM,Gaoxinqi
Gfive Mobile GFIVE G73,Gfive
Global Distribution FZE i423,Global
"Goldgoal International 1120+,A2000+,X2000,D500+,Z303",Goldgoal
"Goldgoal International 610i,N73,S7718,S7710,Butterflys",Goldgoal
"Goldgoal International B1,B3,B3000,Bmate 12,Bmate 11",Goldgoal
Goldgoal International B50,Goldgoal
"Goldgoal International B7722,B200,S6830,W666,5700",Goldgoal
"Goldgoal International E222,S252,S257,S256,A2005",Goldgoal
"Goldgoal International L300 mini,A302,E615,610,S4",Goldgoal
"Goldgoal International N80+,S5000,Q1,Q2,Q3",Goldgoal
"Goldgoal International Q30,U68+,D500,W188,W268",Goldgoal
"Goldgoal International Q5,Q6,Q9,Q10,Q11",Goldgoal
"Goldgoal International S255,S259,S260,S668,S669",Goldgoal
Goldgoal International S5+,Goldgoal
"Goldgoal International S500,S500+,S500i,S500S,M800",Goldgoal
Goldgoal International S6+,Goldgoal
"Goldgoal International S600,S700,S600I,S700I,A2000",Goldgoal
"Goldgoal International XE88,C9,N8000+,9005+,s4+",Goldgoal
"Goldgoal International Y3,Z3,M3,S620,S621",Goldgoal
Google Nexus 4,Google
Google Nexus 5,Google
Google Nexus 5 CDMA,Google
"Gotron Electronic U5, U5S, L55, U45, U69",Gotron
Group Acquisitions IQ239,Group
Group Acquisitions IQ434,Group
Group Acquisitions IQ4503,Group
Group Acquisitions IQ4551,Group
Group Acquisitions IQ4602,Group
Guangdong Oppo Mobile Telecommunications A33w,Guangdong
"Guangdong Oppo Mobile Telecommunications OPPO R6016,OPPO R6011,OPPO R8206,OPPO N5206",Guangdong
Haier M80,Haier
Haier Pursuit G20,Haier
Happle H369,Happle
Hewlett Packard cr4110,Hewlett
Hewlett Packard hs3124,Hewlett
"HK Disike Technology G3, K77, K88, V2",HK
"HK Disike Technology IP6+, M7, N1",HK
"HK Disike Technology IP6, N2, N1+",HK
"HK Disike Technology K15, XL530, Z2",HK
"HK Disike Technology K5, K6, K7, K8",HK
"HK Disike Technology M8, K800+, N3, S6",HK
"HK Jin Hui Ma Technology B5,B8,B9,B6,B12",HK
"HK Jin Hui Ma Technology S311,S312,S313,S314,S70",HK
"HK Jin Hui Ma Technology S315,S316,S317,S318,S319",HK
"HK Jin Hui Ma Technology S50,S50mini,95mini",HK
"HK Jin Hui Ma Technology S688,S689,S699,S668,S669",HK
"HK Jin Hui Ma Technology S70mini,S60,S70",HK
HK Jin Hui Ma Technology Z90,HK
"Honeywell International CT50, CT50 Android, CT 50 Windows",Honeywell
Honeywell International Dolphin 7800lw,Honeywell
"Hong Kong A Beam Light Technology B1,B2,B3,B5,B6",Hong
"Hong Kong Hongzi Technology A2688,R804,312,101",Hong
"Hong Kong Hongzi Technology P1,P2,P3,W5,W630",Hong
"Hong Kong Xile Technology A1,A2,A3303,G08,G07",Hong
"Hong Kong Xile Technology G100,G200,G300,G400,G500",Hong
"Hong Kong Xile Technology G20,G30,G40,G50,G60",Hong
"Hong Kong Xile Technology G3000,G4000,G5000,G6000,G7000",Hong
"Hong Kong Xile Technology G515,G808,G555,G707,G606",Hong
"Hong Kong Xile Technology G6,G7,G8,G9,I9330",Hong
"Hong Kong Xile Technology G616, G101,G303,G777,G404",Hong
"Hong Kong Xile Technology G70,G80,G90,G88,G99",Hong
Hong Kong Xile Technology X5,Hong
"Hong Kong Xile Technology Z111,Z222,Z333,Z444,Z555",Hong
Hongkong Yocall L61,Hongkong
HP hs2340  HSPA Mobile Broadband,HP
HP hs2350,HP
HP hs3110,HP
HP hs3110 HSPA+ Mobile Module,HP
HP hs3120,HP
HP HSTNH-B19C Slate 6,HP
HP Slate 3G,HP
HP un2400 Module,HP
HP un2420 Module,HP
HTC 0P6B670,HTC
HTC 0P6B680,HTC
HTC 0P6B810,HTC
HTC 0PAJ310,HTC
HTC 0PGL100,HTC
HTC 0PGZ100,HTC
HTC 0PJX100,HTC
HTC 0PKX220,HTC
HTC 0PL3120,HTC
HTC 0PLA130,HTC
HTC 2PNT100,HTC
HTC 2PQ8110,HTC
HTC 2PRG100,HTC
HTC 5088,HTC
HTC 9088,HTC
HTC A11,HTC
HTC ChaCha,HTC
HTC Desire,HTC
HTC Desire 300,HTC
HTC Desire 310,HTC
HTC Desire 500,HTC
HTC Desire 500 Dual SIM,HTC
HTC Desire 510,HTC
HTC Desire 516 dual sim,HTC
HTC Desire 526G,HTC
HTC Desire 526G+ Dual SIM,HTC
HTC Desire 606w,HTC
HTC Desire 608t,HTC
HTC Desire 610,HTC
HTC Desire 616 dual sim,HTC
HTC Desire 620,HTC
HTC Desire 620G Dual SIM,HTC
HTC Desire 626G,HTC
HTC Desire 626G Dual SIM,HTC
HTC Desire 728G,HTC
HTC Desire 816,HTC
HTC Desire 816 Dual SIM,HTC
HTC Desire 816G Dual SIM,HTC
HTC Desire 820,HTC
HTC Desire 820 Dual SIM,HTC
HTC Desire 820G Dual SIM,HTC
HTC Desire 826,HTC
HTC Desire 826 Dual,HTC
HTC Desire C,HTC
HTC Desire EYE,HTC
HTC Desire HD,HTC
HTC Desire S,HTC
HTC Desire SV,HTC
HTC Desire V,HTC
HTC Desire X,HTC
HTC Evo 3D,HTC
HTC Explorer,HTC
HTC HD Mini,HTC
HTC HD2,HTC
HTC HD7,HTC
HTC HTC D816h,HTC
HTC HTC D820x,HTC
HTC HTC E9pw,HTC
HTC HTC E9w,HTC
HTC Incredible S,HTC
HTC Legend,HTC
HTC Magic,HTC
HTC Mobile Phone 8,HTC
HTC One,HTC
HTC One (E8),HTC
HTC One (M8),HTC
HTC One (M8) Dual SIM,HTC
HTC One 801e,HTC
HTC One A9,HTC
HTC One dual sim,HTC
HTC One E8,HTC
HTC One M8,HTC
HTC One M8 (0P6B130),HTC
HTC One M9,HTC
HTC One M9+,HTC
HTC One Max,HTC
HTC One Mini,HTC
HTC One mini 2,HTC
HTC One S,HTC
HTC One S C2,HTC
HTC One V,HTC
HTC One X,HTC
HTC One X+,HTC
HTC P3450 Touch,HTC
HTC PN07710,HTC
HTC PO49110,HTC
HTC Rhyme,HTC
HTC Sensation,HTC
HTC Sensation 4G,HTC
HTC Sensation XL,HTC
HTC Wildfire,HTC
HTC Wildfire S,HTC
HTC Windows Phone 8S,HTC
HTC Windows Phone 8X,HTC
Huawei ALE-UL00,Huawei
Huawei Ascend D2,Huawei
Huawei Ascend G300 U8815,Huawei
Huawei Ascend G6 LTE,Huawei
Huawei Ascend G610,Huawei
Huawei Ascend G620S LTE,Huawei
Huawei Ascend G630-U10,Huawei
Huawei Ascend G660,Huawei
Huawei Ascend G7,Huawei
Huawei Ascend G700-U10,Huawei
Huawei Ascend G730,Huawei
Huawei Ascend G730-U00,Huawei
Huawei Ascend G750-T01,Huawei
Huawei Ascend G750-U00,Huawei
Huawei Ascend G750-U10,Huawei
Huawei Ascend Mate 7,Huawei
Huawei Ascend Mate MT1,Huawei
Huawei Ascend P6,Huawei
Huawei Ascend P7,Huawei
Huawei Ascend P7-L10,Huawei
Huawei Ascend Y220-U10,Huawei
Huawei Ascend Y221,Huawei
Huawei Ascend Y330,Huawei
Huawei Ascend Y330-U01,Huawei
Huawei Ascend Y330-U11,Huawei
Huawei Ascend Y336,Huawei
Huawei Ascend Y360,Huawei
Huawei Ascend Y511,Huawei
Huawei Ascend Y520,Huawei
Huawei Ascend Y530,Huawei
Huawei Ascend Y600,Huawei
Huawei Ascend Y600-U20,Huawei
Huawei Ascend Y625,Huawei
Huawei Ascend Y635,Huawei
Huawei B183,Huawei
Huawei B315s-936,Huawei
Huawei B593s-22,Huawei
Huawei B683,Huawei
Huawei B880-73,Huawei
Huawei BM328c,Huawei
Huawei CHM-U01,Huawei
Huawei CHM-UL00,Huawei
Huawei E153,Huawei
Huawei E1550,Huawei
Huawei E156G,Huawei
Huawei E160G,Huawei
Huawei E173,Huawei
Huawei E1752C,Huawei
Huawei E1820,Huawei
Huawei E187,Huawei
Huawei E220,Huawei
Huawei E261,Huawei
Huawei E272,Huawei
Huawei E303,Huawei
Huawei E303C,Huawei
Huawei E303s,Huawei
Huawei E3131s,Huawei
Huawei E3131s-2,Huawei
Huawei E3331,Huawei
Huawei E352,Huawei
Huawei E3531i-2,Huawei
Huawei E355,Huawei
Huawei E367,Huawei
Huawei E372,Huawei
Huawei E397Bu-7,Huawei
Huawei E398,Huawei
Huawei E5220s-1,Huawei
Huawei E5220s-2,Huawei
Huawei E5330As-2,Huawei
Huawei E5330Bs-2,Huawei
"Huawei E5330Bs-2,E5336Bs-2",Huawei
Huawei E5331,Huawei
Huawei E5351s-2,Huawei
Huawei E5372s-601,Huawei
Huawei E5373s-928,Huawei
Huawei E5377s-327,Huawei
Huawei E5730,Huawei
Huawei E5770s-923,Huawei
Huawei E5776,Huawei
Huawei E5830,Huawei
Huawei E5832,Huawei
Huawei E585,Huawei
Huawei E586,Huawei
Huawei E620,Huawei
Huawei E8231s-2,Huawei
Huawei E870,Huawei
Huawei E881,Huawei
Huawei E960,Huawei
Huawei eA660-155,Huawei
Huawei EM820W,Huawei
Huawei Expedite E172,Huawei
Huawei G Play mini,Huawei
Huawei G3510,Huawei
Huawei G525,Huawei
Huawei G630-U10,Huawei
Huawei G750-T20 Honor 3X,Huawei
Huawei GEM-701L,Huawei
Huawei GP H100,Huawei
Huawei GTM900-C,Huawei
Huawei H30-L02 Honor 3C,Huawei
Huawei H60-L02 (TBC),Huawei
Huawei Hol-U19,Huawei
Huawei Honor 3C,Huawei
Huawei Honor 3X,Huawei
Huawei Honor 4X,Huawei
Huawei Honor 6,Huawei
Huawei Honor 6 Plus,Huawei
Huawei Honor Holly,Huawei
Huawei Honor X2 (TBC),Huawei
Huawei Huawei,Huawei
Huawei Iris,Huawei
Huawei K3770,Huawei
Huawei Mate S,Huawei
Huawei Mate7,Huawei
Huawei ME936,Huawei
Huawei MediaPad 10 Link+,Huawei
Huawei MediaPad 7 Vogue,Huawei
Huawei MediaPad 7 Youth2,Huawei
Huawei MediaPad M1,Huawei
Huawei MediaPad M1 8.0,Huawei
Huawei MediaPad S10,Huawei
Huawei MediaPad S10 LTE,Huawei
Huawei MediaPad S7,Huawei
Huawei MediaPad T1 10,Huawei
Huawei MG323,Huawei
Huawei MG323-B,Huawei
Huawei MT7-CL00,Huawei
Huawei MU709s-2,Huawei
Huawei MU733,Huawei
Huawei MU736,Huawei
Huawei Nexus 6P,Huawei
Huawei NXT-AL10,Huawei
Huawei NXT-L29,Huawei
Huawei P1 Ascend,Huawei
Huawei P8,Huawei
Huawei P8 lite,Huawei
Huawei P8lite,Huawei
Huawei P8max,Huawei
Huawei PLK-L01,Huawei
Huawei PLK-UL00,Huawei
Huawei R206,Huawei
Huawei RIO-L01,Huawei
Huawei SCL-AL00,Huawei
Huawei SCL-TL00H,Huawei
Huawei T1-701g,Huawei
"Huawei T1-701u,T1-701ua",Huawei
Huawei T9508,Huawei
Huawei U2805,Huawei
Huawei U5600,Huawei
Huawei U8150,Huawei
Huawei U8685D Ascend Y210,Huawei
Huawei U8800,Huawei
Huawei U8800 Ideos X5 Pro,Huawei
Huawei U8800H Ideos X5,Huawei
Huawei U8833 Ascend Y300,Huawei
Huawei U8860 Honor,Huawei
Huawei U8950-1 Ascend G600,Huawei
Huawei U8951 Ascend G510,Huawei
Huawei U9202 Ascend P1 LTE,Huawei
Huawei U9508 Ascend G615-U10,Huawei
Huawei U9508 Honor 2,Huawei
Huawei U9510 Ascend D quad,Huawei
Huawei Y320,Huawei
Huawei Y336,Huawei
Huawei Y5 Y560-U02,Huawei
Huawei Y511-U30 Ascend Y511,Huawei
Huawei Y560-U02,Huawei
Huawei Y6,Huawei
